id,created_at,retweets,likes,replies,quotes,user_followers,user_following,user_listed,user_tweets,has_media,url,lang,text
1374463763441614849,2021-03-23T20:51:12.000Z,97,0,0,0,40,181,0,367,False,,es,"RT @soniachocron: AMIGOS, POR FAVOR, AYUDA!!!

Me acabo de enterar!!

SOLEDAD BRAVO NECESITA APOYO PARA VENCER EL COVID https://t.co/5muuC6…"
1374463761709363218,2021-03-23T20:51:11.000Z,384,0,0,0,200,436,0,5948,False,,es,RT @EAristeguieta: SOLEDAD BRAVO NECESITA APOYO PARA VENCER EL COVID https://t.co/CnPpIcIIoP
1374463754805551112,2021-03-23T20:51:10.000Z,239,0,0,0,390,1450,6,12319,False,,en,RT @clownmayoi: Hi guys I’m sorry to get serious all of a sudden but my grandfather in Venezuela got hit really badly with COVID and has be…
1374463743271170065,2021-03-23T20:51:07.000Z,132,0,0,0,4521,4990,46,170073,False,,en,RT @BIRDGroupUK: We are raising funds to ensure that #Ivermectin is widely adopted for #covidRx. Please contribute if you can. People need…
1374463736673538054,2021-03-23T20:51:05.000Z,4,0,0,0,82,272,2,2218,False,,es,RT @AngelMonagas: SOLEDAD BRAVO NECESITA APOYO PARA VENCER EL COVID https://t.co/U9Zuj6hqNy
1374463721112621056,2021-03-23T20:51:02.000Z,14,0,0,0,104,236,1,24177,False,,es,RT @CaraotaDigital: Soledad Bravo en estado crítico tras contagiarse de covid-19. Ayúdanos a salvar su vida #23Mar  (+enlace a gofundme)👇🏻…
1374463708114513931,2021-03-23T20:50:58.000Z,486,0,0,0,85,925,0,11592,False,,es,"RT @AliasMalula: La gran Soledad Bravo cayó víctima del Covid-19, su condición es delicada. La familia solicita apoyo a través de https://t…"
1374463678439772160,2021-03-23T20:50:51.000Z,384,0,0,0,264,216,3,122206,False,,es,RT @EAristeguieta: SOLEDAD BRAVO NECESITA APOYO PARA VENCER EL COVID https://t.co/CnPpIcIIoP
1374463658248470539,2021-03-23T20:50:47.000Z,14,0,0,0,828,937,1,164407,False,,es,RT @CaraotaDigital: Soledad Bravo en estado crítico tras contagiarse de covid-19. Ayúdanos a salvar su vida #23Mar  (+enlace a gofundme)👇🏻…
1374463618289307649,2021-03-23T20:50:37.000Z,1015,0,0,0,699,2324,1,29475,False,,es,RT @OrlvndoA: Soledad Bravo necesita apoyo para vencer el COVID: https://t.co/ABrieeMBOh
1374463603345027078,2021-03-23T20:50:33.000Z,486,0,0,0,518,1130,23,168460,False,,es,"RT @AliasMalula: La gran Soledad Bravo cayó víctima del Covid-19, su condición es delicada. La familia solicita apoyo a través de https://t…"
1374463568146432003,2021-03-23T20:50:25.000Z,384,0,0,0,109,314,0,2255,False,,es,RT @EAristeguieta: SOLEDAD BRAVO NECESITA APOYO PARA VENCER EL COVID https://t.co/CnPpIcIIoP
1374463532645769234,2021-03-23T20:50:17.000Z,384,0,0,0,3857,2963,40,95425,False,,es,RT @EAristeguieta: SOLEDAD BRAVO NECESITA APOYO PARA VENCER EL COVID https://t.co/CnPpIcIIoP
1374463511871385604,2021-03-23T20:50:12.000Z,0,0,0,0,5128589,343925,17503,7544431,True,https://pbs.twimg.com/media/EdkOa4NXoAUcsBl.jpg,es,#ServicioPúblico El señor Pedro Acosta Gil presenta covid-19 moderado a severo. Se agradece a las personas o instituciones que puedan colaborar ingresar aquí  https://t.co/CQhVs0mQ9P  https://t.co/7Nb7o3fzxg
1374463500408422402,2021-03-23T20:50:09.000Z,0,1,0,0,2966,2938,26,11042,False,,es,SOLEDAD BRAVO NECESITA APOYO PARA VENCER EL COVID https://t.co/RONh14vEWk
1374463471916445697,2021-03-23T20:50:02.000Z,384,0,0,0,314,501,0,44718,False,,es,RT @EAristeguieta: SOLEDAD BRAVO NECESITA APOYO PARA VENCER EL COVID https://t.co/CnPpIcIIoP
1374463434675261444,2021-03-23T20:49:53.000Z,21,0,0,0,314,501,0,44718,False,,es,RT @orlandourdaneta: SOLEDAD BRAVO NECESITA APOYO PARA VENCER EL COVID https://t.co/qMMoEfIf2g
1374463428169854986,2021-03-23T20:49:52.000Z,14,0,0,0,536,936,2,12852,False,,es,RT @CaraotaDigital: Soledad Bravo en estado crítico tras contagiarse de covid-19. Ayúdanos a salvar su vida #23Mar  (+enlace a gofundme)👇🏻…
1374463425175191552,2021-03-23T20:49:51.000Z,8,0,0,0,1830,4292,3,292140,False,,en,RT @MariaBartiromo: The Eric Spinato Family The world lost a wonderful person to Covid this past weekend. Eric was a joy to everyone who kn…
1374463425133211650,2021-03-23T20:49:51.000Z,486,0,0,0,182,580,1,76630,False,,es,"RT @AliasMalula: La gran Soledad Bravo cayó víctima del Covid-19, su condición es delicada. La familia solicita apoyo a través de https://t…"
1374463414420967433,2021-03-23T20:49:48.000Z,425,0,0,0,39,388,0,1056,False,,es,"RT @gabyarocha: Acabo de ver que nuestra querida Soledad Bravo, su hija Ana Sol y su esposo Antonio requieren ayuda para superar el Covid_1…"
1374463412613251078,2021-03-23T20:49:48.000Z,48,0,0,0,157,955,0,3881,False,,es,"RT @lilianrangel: SOLEDAD BRAVO NECESITA APOYO PARA VENCER EL COVID 
Apoyemos para rescatar esos pulmones que son patrimonio nacional 
Ayud…"
1374463404467875850,2021-03-23T20:49:46.000Z,1015,0,0,0,92,121,0,23333,False,,es,RT @OrlvndoA: Soledad Bravo necesita apoyo para vencer el COVID: https://t.co/ABrieeMBOh
1374463374726029319,2021-03-23T20:49:39.000Z,40,0,0,0,2163,4569,0,108961,False,,es,RT @MarcanoemiliaQ: SOLEDAD BRAVO NECESITA APOYO PARA VENCER EL COVID https://t.co/hGevCu9i7g
1374463361572769806,2021-03-23T20:49:36.000Z,384,0,0,0,39,388,0,1056,False,,es,RT @EAristeguieta: SOLEDAD BRAVO NECESITA APOYO PARA VENCER EL COVID https://t.co/CnPpIcIIoP
1374463360402481164,2021-03-23T20:49:36.000Z,14,0,0,0,234,571,1,10903,False,,es,RT @CaraotaDigital: Soledad Bravo en estado crítico tras contagiarse de covid-19. Ayúdanos a salvar su vida #23Mar  (+enlace a gofundme)👇🏻…
1374463339795902465,2021-03-23T20:49:31.000Z,14,0,0,0,698,647,27,243400,False,,es,RT @CaraotaDigital: Soledad Bravo en estado crítico tras contagiarse de covid-19. Ayúdanos a salvar su vida #23Mar  (+enlace a gofundme)👇🏻…
1374463327925989377,2021-03-23T20:49:28.000Z,48,0,0,0,43,626,0,2528,False,,es,RT @_LuzMarina: SOLEDAD BRAVO NECESITA APOYO PARA VENCER EL COVID.  https://t.co/nSJvCUD6eA
1374463322532179969,2021-03-23T20:49:27.000Z,384,0,0,0,40,248,0,6320,False,,es,RT @EAristeguieta: SOLEDAD BRAVO NECESITA APOYO PARA VENCER EL COVID https://t.co/CnPpIcIIoP
1374463318304288768,2021-03-23T20:49:26.000Z,486,0,0,0,813,573,3,75717,False,,es,"RT @AliasMalula: La gran Soledad Bravo cayó víctima del Covid-19, su condición es delicada. La familia solicita apoyo a través de https://t…"
1374463315414421504,2021-03-23T20:49:25.000Z,4,0,0,0,26,591,0,726,False,,es,RT @AngelMonagas: SOLEDAD BRAVO NECESITA APOYO PARA VENCER EL COVID https://t.co/U9Zuj6hqNy
1374463315007606785,2021-03-23T20:49:25.000Z,0,0,0,0,511,2543,22,1936,False,,en,I’m a administrator in a elementary in Oakland and Yesterday I called a kindergarten’s home because the teacher let me know dad had passed from COVID. I talked to mom and we cried together. Please donate to take him back home to Mexico https://t.co/K9MlnmFyjR
1374463309915693056,2021-03-23T20:49:24.000Z,384,0,0,0,21,121,0,1451,False,,es,RT @EAristeguieta: SOLEDAD BRAVO NECESITA APOYO PARA VENCER EL COVID https://t.co/CnPpIcIIoP
1374463307541737474,2021-03-23T20:49:23.000Z,1015,0,0,0,374,2836,1,89405,False,,es,RT @OrlvndoA: Soledad Bravo necesita apoyo para vencer el COVID: https://t.co/ABrieeMBOh
1374463299367038980,2021-03-23T20:49:21.000Z,1,0,0,0,794,936,78,41142,False,,es,RT @musica4manos: SOLEDAD BRAVO NECESITA APOYO PARA VENCER EL COVID https://t.co/4JpwmXuxYS
1374463253418418176,2021-03-23T20:49:10.000Z,14,0,0,0,410,770,8,64800,False,,es,RT @CaraotaDigital: Soledad Bravo en estado crítico tras contagiarse de covid-19. Ayúdanos a salvar su vida #23Mar  (+enlace a gofundme)👇🏻…
1374463195457318916,2021-03-23T20:48:56.000Z,20,0,0,0,120,356,1,9610,False,,es,RT @marianac2: Mi amiga Maye y su familia necesitan de la ayuda de todos para cubrir los gastos de su papá que se encuentra hospitalizado p…
1374463189069430789,2021-03-23T20:48:55.000Z,384,0,0,0,40,164,0,5875,False,,es,RT @EAristeguieta: SOLEDAD BRAVO NECESITA APOYO PARA VENCER EL COVID https://t.co/CnPpIcIIoP
1374463169112854532,2021-03-23T20:48:50.000Z,0,0,0,0,22,523,0,193,False,,und,@NewsMaturin https://t.co/RgTpElxRp3
1374463166109814786,2021-03-23T20:48:49.000Z,20,0,0,0,86,316,0,10965,False,,es,RT @marianac2: Mi amiga Maye y su familia necesitan de la ayuda de todos para cubrir los gastos de su papá que se encuentra hospitalizado p…
1374463162561433613,2021-03-23T20:48:48.000Z,384,0,0,0,25,180,0,232,False,,es,RT @EAristeguieta: SOLEDAD BRAVO NECESITA APOYO PARA VENCER EL COVID https://t.co/CnPpIcIIoP
1374463152939704323,2021-03-23T20:48:46.000Z,384,0,0,0,301,809,1,24904,False,,es,RT @EAristeguieta: SOLEDAD BRAVO NECESITA APOYO PARA VENCER EL COVID https://t.co/CnPpIcIIoP
1374463141958938625,2021-03-23T20:48:43.000Z,16,0,0,0,470,629,0,130401,False,,en,"RT @ourbadmuses: winter lost his job at the beginning of the pandemic, which is also when he started transitioning and is also recovering c…"
1374463135453614082,2021-03-23T20:48:42.000Z,384,0,0,0,661,1640,10,130544,False,,es,RT @EAristeguieta: SOLEDAD BRAVO NECESITA APOYO PARA VENCER EL COVID https://t.co/CnPpIcIIoP
1374463131863289857,2021-03-23T20:48:41.000Z,227,0,0,0,550,573,11,89725,False,,es,RT @manriquehector: SOLEDAD BRAVO NECESITA APOYO PARA VENCER EL COVID https://t.co/8rQPxrJCaQ
1374463122593828869,2021-03-23T20:48:39.000Z,1015,0,0,0,129,708,0,11547,False,,es,RT @OrlvndoA: Soledad Bravo necesita apoyo para vencer el COVID: https://t.co/ABrieeMBOh
1374463103094513664,2021-03-23T20:48:34.000Z,425,0,0,0,550,573,11,89725,False,,es,"RT @gabyarocha: Acabo de ver que nuestra querida Soledad Bravo, su hija Ana Sol y su esposo Antonio requieren ayuda para superar el Covid_1…"
1374463090813673480,2021-03-23T20:48:31.000Z,384,0,0,0,107,404,0,6505,False,,es,RT @EAristeguieta: SOLEDAD BRAVO NECESITA APOYO PARA VENCER EL COVID https://t.co/CnPpIcIIoP
1374463055011086340,2021-03-23T20:48:23.000Z,97,0,0,0,301,809,1,24904,False,,es,"RT @soniachocron: AMIGOS, POR FAVOR, AYUDA!!!

Me acabo de enterar!!

SOLEDAD BRAVO NECESITA APOYO PARA VENCER EL COVID https://t.co/5muuC6…"
1374463018193408004,2021-03-23T20:48:14.000Z,97,0,0,0,312,923,4,22710,False,,es,"RT @soniachocron: AMIGOS, POR FAVOR, AYUDA!!!

Me acabo de enterar!!

SOLEDAD BRAVO NECESITA APOYO PARA VENCER EL COVID https://t.co/5muuC6…"
1374463006499729415,2021-03-23T20:48:11.000Z,8,0,0,0,456,316,0,16818,False,,en,RT @MariaBartiromo: The Eric Spinato Family The world lost a wonderful person to Covid this past weekend. Eric was a joy to everyone who kn…
1374462995724599302,2021-03-23T20:48:09.000Z,1,0,0,0,3748,3441,0,4979,False,,en,RT @ricexcabbage: @anietie_emah https://t.co/gEAtLa6yBi If you see this PLEASE SHARE because of COVID we have to have a DOUBLE LUNG  TRANSP…
1374462983934386177,2021-03-23T20:48:06.000Z,2,0,0,0,34,197,0,1389,False,,es,"RT @Mazzeitica: Él fue mi profesor en El Peñón, Caracas, tiene Covid-19 y necesita colaboración para cubrir los gastos y tratamiento!! 
Les…"
1374462975604445192,2021-03-23T20:48:04.000Z,5,0,0,0,548,685,4,80123,False,,es,"RT @AbogadoAntonioV: #ServicioPúblico | Soledad Bravo (@soledadbravo531) y su familia están enfrentando al Covid-19, por lo que requieren d…"
1374462962811817986,2021-03-23T20:48:01.000Z,0,0,0,0,49,212,0,2771,False,,en,@SwaeLee https://t.co/gEAtLao9sQ If you see this PLEASE SHARE because of COVID we have to have a DOUBLE LUNG  TRANSPLANT 🫁 and it WON’T be covered 100% please do what you can by donating. We will not choose to die if we have the ABILTY to LIVE.  IF YOU SEE THIS SHARE IT PLS‼️
1374462952154091522,2021-03-23T20:47:58.000Z,13,0,0,0,1444,2040,21,155421,False,,es,RT @ReporteYa: #23Mar #ServicioPúblico El señor Pedro Acosta Gil presenta covid-19 moderado a severo. Se agradece a las personas o instituc…
1374462949687926791,2021-03-23T20:47:58.000Z,4,0,0,0,732,809,7,13851,False,,es,RT @AngelMonagas: SOLEDAD BRAVO NECESITA APOYO PARA VENCER EL COVID https://t.co/U9Zuj6hqNy
1374462945573232647,2021-03-23T20:47:57.000Z,2,0,0,0,429,1731,8,114045,False,,es,RT @tataki57: Fundraiser by Enrique Bravo : SOLEDAD BRAVO NECESITA APOYO PARA VENCER EL COVID https://t.co/JlT43q3aew
1374462936727445508,2021-03-23T20:47:55.000Z,27,0,0,0,19,56,0,5031,False,,es,"RT @VenteDDHH: #ServicioPúblico | Soledad Bravo (@soledadbravo531) y su familia están enfrentando al Covid-19, por lo que requieren de todo…"
1374462923024736259,2021-03-23T20:47:51.000Z,14,0,0,0,240,599,0,7837,False,,es,RT @CaraotaDigital: Soledad Bravo en estado crítico tras contagiarse de covid-19. Ayúdanos a salvar su vida #23Mar  (+enlace a gofundme)👇🏻…
1374462909464551438,2021-03-23T20:47:48.000Z,20,0,0,0,77,60,0,52309,False,,es,RT @marianac2: Mi amiga Maye y su familia necesitan de la ayuda de todos para cubrir los gastos de su papá que se encuentra hospitalizado p…
1374462905609949185,2021-03-23T20:47:47.000Z,1015,0,0,0,81,487,2,18991,False,,es,RT @OrlvndoA: Soledad Bravo necesita apoyo para vencer el COVID: https://t.co/ABrieeMBOh
