id,created_at,retweets,likes,replies,quotes,user_followers,user_following,user_listed,user_tweets,has_media,url,lang,text,Weekday,DayOfWeek,Hour
1374905854047133696,2021-03-25 02:07:54+00:00,0,0,0,0,7336,1779,165,15597,True,https://pbs.twimg.com/media/ExSlizpVcAMXwzD.jpg,en,"COVID-19 related scams have so far stolen $144,000 from Western Australians since the start of the pandemic.

In her latest blog, CP Commissioner Lanie Chopping explains why Australia's vaccine roll-out could be the next target for scammers.

#wascamnet

https://t.co/LznYcTSVUq https://t.co/QlskO5X42h",Thursday,3,2
1374905803853983746,2021-03-25 02:07:42+00:00,62,0,0,0,435,216,0,33060,True,https://pbs.twimg.com/media/ExRudsxWEAAm-bp.jpg,en,RT @ZaidZamanHamid: Pakistanis dealing with covid...🤣 https://t.co/xTicbVlrN8,Thursday,3,2
1374905801291169793,2021-03-25 02:07:42+00:00,0,0,0,0,19387,1,295,176307,True,https://pbs.twimg.com/media/ExSlih9VIAEckcI.jpg,en,"PGOLD 40.95 +1.24% 

Grocer achieves a record profits in 2020 despite lot of challenges due to Covid-19 
pandemic

Net income grew 18.9% to P 8.05 billion in FY 2020

2020 net sales up 9.2% to P168.6b, 73% of revenue 
from Puregold stores network and 27% from S&amp;R
- https://t.co/CYPBIsBZQ5",Thursday,3,2
1374905755132854274,2021-03-25 02:07:31+00:00,0,0,0,0,1199061,393,2526,522402,True,https://pbs.twimg.com/media/ExSlewsUUAIZs2Y.jpg,en,"Despite 61 COVID-19 cases in the Supreme Court, the retirement ceremony for Chief Justice Diosdado pushes through.

Peralta is the lone justice present inside session hall. Other justices not required to attend physically but will join virtually. | @anjocalimario https://t.co/rCZRb7uLYX",Thursday,3,2
1374905745305636865,2021-03-25 02:07:28+00:00,54,0,0,0,709,2797,1,5390,True,https://pbs.twimg.com/media/ExR79sEUYAQfNae.jpg,en,"RT @paul_lander: #VaccineFreebiesForMAGAs

Texas flag Covid mask and Speedo combo. https://t.co/io3H2LNHhy",Thursday,3,2
1374905745146212357,2021-03-25 02:07:28+00:00,0,0,0,0,17,83,1,10367,True,https://pbs.twimg.com/media/ExSle7bVoAIM9K8.jpg,en,"Both does t have a medicine both if treated gets cured in 14 days and if not treated gets cured in 2 weeks

Same symptoms then how do they know this is common cold virus 🦠 or a Covid-19 virus 🦠 https://t.co/YECvFRzR2R",Thursday,3,2
1374905721876324352,2021-03-25 02:07:23+00:00,188,0,0,0,1859,1466,75,287810,True,https://pbs.twimg.com/media/ExKzRIXWUAg0ovg.jpg,en,"RT @_wanguii: ""cOviD iS rEaL gUYs"" it's been real for over a year now mathayo. https://t.co/9nHBWgm3oF",Thursday,3,2
1374905714133463041,2021-03-25 02:07:21+00:00,1,0,0,0,9,14,0,1185,True,https://pbs.twimg.com/media/ExSY5plWYAIsNBd.jpg,en,"RT @WeWatchedAMovie: Eat me, covid. https://t.co/ZLxakRmEVm",Thursday,3,2
1374905680264638464,2021-03-25 02:07:13+00:00,0,0,0,0,630,601,14,15298,True,https://pbs.twimg.com/media/ExSlOGvW8AMAK6N.jpg,en,"if I can dig up my vaccination card in my file folders I'll pop in a CGM sensor and drive around on a doughnut expedition Friday afternoon

Krispy Kreme for the contentious free COVID vaccination-doughnut, and Dunkin' for their spicy ghost pepper doughnut https://t.co/EuI1KbYF44",Thursday,3,2
1374905679081705474,2021-03-25 02:07:13+00:00,2,0,0,0,368,535,21,910,True,https://pbs.twimg.com/media/ExR8pm-VEAEyNNA.jpg,en,"RT @SkeptiScientist: One down, one to go.
#covid_19 #covidvacccine #igotmyshot #moderna #wearamask 😷 #wearadamnmask https://t.co/LarfYUksgs",Thursday,3,2
